"tax_cat","prod","n_obs","lm_r2","lm_adj_r2","lm_aic","lm_bic","lm_rmse","lm_df","lm_fstat","lm_pval","seg_r2","seg_adj_r2","seg_aic","seg_bic","seg_rmse","seg_df","seg_fstat","seg_pval","lm_XSSB_p_value","lm_xSSB_intervention_p_value","lm_xSSB_post_p_value","lm_t_p_value","seg_XSSB_p_value","seg_xSSB_intervention_p_value","seg_xSSB_post_p_value","seg_t_p_value"
"Maximum Tax Group","קפה ומסעדה משני",290,0.773217507880549,0.770034595710452,3113.30000735671,3135.31929289459,50.811893184921,285,242.927692175952,1.66110625762327e-90,0.784510180496866,0.779941491744149,3102.48747247454,3131.84651985838,49.5306461305573,283,171.714516562412,3.02269521525013e-91,NA,9.04631624626822e-08,4.26074772276003e-08,3.18102130824382e-09,NA,6.97373513485219e-11,2.40306911055438e-08,0.0183811213240125
"Maximum Tax Group","בירה",290,0.108986223195097,0.0964807666785364,2877.75969127219,2899.77897681008,33.8529603928158,285,8.71509353143359,1.19348422291534e-06,0.120832292970313,0.102192694941415,2877.87826832268,2907.23731570652,33.6271690603918,283,6.48255894697838,2.01565416043948e-06,NA,0.00471329694711234,0.586534170409108,0.00598661609483502,NA,0.139531370573851,0.53124950482742,0.0803285475892532
"Maximum Tax Group","חטיפים מתוקים משני",290,0.154092253126553,0.14221986369675,3035.94172130911,3057.961006847,44.4673000956725,285,12.9790430172162,1.01033323314736e-09,0.164479113072138,0.146764889321017,3036.35878280089,3065.71783018473,44.1934509500843,283,9.28514370050967,2.68997961921754e-09,NA,0.721694074036125,0.0254706281808143,2.9714815546705e-09,NA,0.47330313920128,0.0231677348225518,0.0541117277858866
"Maximum Tax Group","גבינות משני",290,0.476662717278541,0.469317632608766,2813.34236611352,2835.3616516514,30.2943764028861,285,64.8954693796814,5.81784215185473e-39,0.483581151657747,0.472632342152257,2813.48304656592,2842.84209394976,30.0934668133408,283,44.1674641809496,5.95496477474377e-38,NA,2.57435518920464e-05,0.0274441869448977,0.506189011936424,NA,0.00169327898174957,0.0155175492227998,0.0623544140354972
"Maximum Tax Group","המבורגרים",290,0.098830356795211,0.0861823618028631,2837.20449586007,2859.22378139796,31.56672946902,285,7.8139149212981,5.47559110435562e-06,0.0995839587570521,0.0804938660098519,2840.96188227409,2870.32092965793,31.5535278899142,283,5.21652566468839,4.11802087592622e-05,NA,0.000769085087869984,0.27601076993893,0.0283740426959241,NA,0.0079554400598938,0.264150247392489,0.302921640589139
"Maximum Tax Group","קפה שחור",290,0.349001892583407,0.339865077040718,2877.3123164225,2899.33160196038,33.8268584555025,285,38.1973227929142,1.38165472326689e-25,0.360477788219258,0.346919013411186,2876.15455577246,2905.5136031563,33.5273802205632,283,26.5863098489287,4.60020930028441e-25,NA,4.9017750521562e-05,0.0164228920773637,0.959133850964922,NA,1.26389890286255e-05,0.00806757164594697,0.177040995401435
"Maximum Tax Group","תחליף חלב אם",290,0.236292524061687,0.225573822645009,2847.28177782897,2869.30106336685,32.1199818856926,285,22.0448835055729,7.19578899887561e-16,0.238176938293133,0.222025212603235,2850.56533146283,2879.92437884667,32.0803300974366,283,14.7462223458944,1.16219937532584e-14,NA,0.0766514340853208,0.221537146187752,4.18151929631147e-08,NA,0.282969054340879,0.199204553228264,0.156497643218806
"Maximum Tax Group","גבינות קשות/חצי קשות",290,0.513318008223967,0.506487383777988,2798.33631152167,2820.35559705956,29.5206373547883,285,75.1494994760124,2.00701354297841e-43,0.51610383484264,0.505844552189127,2800.67154721135,2830.0305945952,29.4360262495808,283,50.3060352534413,6.81175501025215e-42,NA,7.4115993784203e-05,0.0841792199544062,0.13441062320181,NA,0.00126617767550987,0.0595235798450181,0.0980509573475467
"Maximum Tax Group","קמח",290,0.542964864676337,0.536550336461268,2790.63532001014,2812.65460554803,29.1312656550808,285,84.6461105901459,2.73514287464636e-47,0.54643896045774,0.53682282534377,2792.42250011769,2821.78154750153,29.0203355999517,283,56.82521657416,8.01191985800029e-46,NA,6.34705848945682e-06,0.0120293102997674,0.721942665080032,NA,0.000131823493656235,0.00694533400271363,0.132328952399452
"Maximum Tax Group","חנויות ומשווקי אלכוהול",290,0.0592257214492037,0.0460218719256837,2972.34848155749,2994.36776709538,39.8495284853443,285,4.48548897378035,0.0015726463789044,0.073544407396558,0.0539022393554958,2971.9007160355,3001.25976341934,39.5451086584495,283,3.74421027469126,0.00133294514456622,NA,0.000996089544684679,0.0739867210842047,0.732199708944965,NA,0.00353264147151328,0.0366987371254929,0.0379637914689029
"Maximum Tax Group","מזון מהטבע משני",290,0.443415614624561,0.435603903952625,2835.81777057569,2857.83705611358,31.4913465494136,285,56.7629336577398,3.51249186491928e-35,0.457389087697057,0.445884969415016,2832.44414822869,2861.80319561253,31.0935267177535,283,39.7587260912535,5.85551048631235e-35,NA,0.00555244367362609,0.847635003715118,0.000417926093210944,NA,0.0810135264098696,0.604509812062125,0.000702735167836247
