,date,full_tax_count,beers_count,difference
0,01/01/2020,52,4,48
1,02/01/2020,21,9,12
2,03/01/2020,10,7,3
3,04/01/2020,13,2,11
4,05/01/2020,112,37,75
5,06/01/2020,219,96,123
6,07/01/2020,14,95,-81
7,08/01/2020,18,11,7
8,09/01/2020,42,64,-22
9,10/01/2020,44,39,5
10,11/01/2020,19,36,-17
11,12/01/2020,14,8,6
12,13/01/2020,15,9,6
13,14/01/2020,14,31,-17
14,15/01/2020,15,29,-14
15,16/01/2020,16,23,-7
16,17/01/2020,13,10,3
17,18/01/2020,15,13,2
18,19/01/2020,16,25,-9
19,20/01/2020,16,12,4
20,21/01/2020,14,27,-13
21,22/01/2020,14,34,-20
22,23/01/2020,15,24,-9
23,24/01/2020,13,24,-11
24,25/01/2020,14,25,-11
25,26/01/2020,14,15,-1
26,27/01/2020,16,13,3
27,28/01/2020,13,39,-26
28,29/01/2020,14,33,-19
29,30/01/2020,16,24,-8
30,31/01/2020,15,7,8
31,01/02/2020,26,11,15
32,02/02/2020,62,17,45
33,03/02/2020,14,15,-1
34,04/02/2020,41,2,39
35,05/02/2020,110,27,83
36,06/02/2020,317,77,240
37,07/02/2020,3,79,-76
38,08/02/2020,13,48,-35
39,09/02/2020,61,48,13
40,10/02/2020,34,37,-3
41,11/02/2020,15,38,-23
42,12/02/2020,28,10,18
43,13/02/2020,23,25,-2
44,14/02/2020,10,12,-2
45,15/02/2020,4,17,-13
46,16/02/2020,15,23,-8
47,17/02/2020,30,35,-5
48,18/02/2020,12,42,-30
49,19/02/2020,21,51,-30
50,20/02/2020,10,53,-43
51,21/02/2020,5,15,-10
52,22/02/2020,3,5,-2
53,23/02/2020,6,2,4
54,24/02/2020,5,2,3
55,25/02/2020,4,1,3
56,26/02/2020,7,1,6
57,27/02/2020,10,1,9
58,28/02/2020,7,3,4
59,29/02/2020,3,2,1
60,01/03/2020,13,12,1
61,02/03/2020,70,3,67
62,03/03/2020,39,7,32
63,04/03/2020,77,0,77
64,05/03/2020,107,33,74
65,06/03/2020,371,82,289
66,07/03/2020,4,54,-50
67,08/03/2020,0,40,-40
68,09/03/2020,52,53,-1
69,10/03/2020,18,23,-5
70,11/03/2020,13,23,-10
71,12/03/2020,48,9,39
72,13/03/2020,26,15,11
73,14/03/2020,6,18,-12
74,15/03/2020,28,16,12
75,16/03/2020,29,6,23
76,17/03/2020,29,3,26
77,18/03/2020,29,6,23
78,19/03/2020,28,6,22
79,20/03/2020,2,5,-3
80,21/03/2020,3,5,-2
81,22/03/2020,1,6,-5
82,23/03/2020,2,6,-4
83,24/03/2020,2,2,0
84,25/03/2020,2,1,1
85,26/03/2020,2,4,-2
86,27/03/2020,2,3,-1
87,28/03/2020,3,2,1
88,29/03/2020,2,3,-1
89,30/03/2020,1,5,-4
90,31/03/2020,1,4,-3
91,01/04/2020,14,5,9
92,02/04/2020,79,4,75
93,03/04/2020,70,38,32
94,04/04/2020,80,1,79
95,05/04/2020,96,31,65
96,06/04/2020,305,70,235
97,07/04/2020,6,44,-38
98,08/04/2020,4,53,-49
99,09/04/2020,52,30,22
100,10/04/2020,12,46,-34
101,11/04/2020,18,25,-7
102,12/04/2020,56,3,53
103,13/04/2020,68,9,59
104,14/04/2020,67,7,60
105,15/04/2020,6,9,-3
106,16/04/2020,2,7,-5
107,17/04/2020,39,9,30
108,18/04/2020,36,9,27
109,19/04/2020,36,58,-22
110,20/04/2020,37,49,-12
111,21/04/2020,1,37,-36
112,22/04/2020,38,69,-31
113,23/04/2020,39,67,-28
114,24/04/2020,99,64,35
115,25/04/2020,128,47,81
116,26/04/2020,117,52,65
117,27/04/2020,98,51,47
118,28/04/2020,73,5,68
119,29/04/2020,141,12,129
120,30/04/2020,126,35,91
121,01/05/2020,15,16,-1
122,02/05/2020,54,6,48
123,03/05/2020,63,47,16
124,04/05/2020,52,17,35
125,05/05/2020,104,25,79
126,06/05/2020,131,46,85
127,07/05/2020,7,99,-92
128,08/05/2020,0,31,-31
129,09/05/2020,35,27,8
130,10/05/2020,21,55,-34
131,11/05/2020,10,20,-10
132,12/05/2020,57,9,48
133,13/05/2020,93,43,50
134,14/05/2020,95,36,59
135,15/05/2020,77,34,43
136,16/05/2020,59,15,44
137,17/05/2020,59,28,31
138,18/05/2020,59,41,18
139,19/05/2020,57,25,32
140,20/05/2020,58,30,28
141,21/05/2020,55,25,30
142,22/05/2020,90,46,44
143,23/05/2020,61,13,48
144,24/05/2020,79,31,48
145,25/05/2020,24,52,-28
