,date,full_tax_count,candy_store_count,difference
0,01/01/2020,49,31,18
1,02/01/2020,21,9,12
2,03/01/2020,8,47,-39
3,04/01/2020,13,43,-30
4,05/01/2020,112,57,55
5,06/01/2020,219,0,219
6,07/01/2020,11,33,-22
7,08/01/2020,18,37,-19
8,09/01/2020,42,1,41
9,10/01/2020,44,15,29
10,11/01/2020,15,0,15
11,12/01/2020,4,0,4
12,13/01/2020,12,30,-18
13,14/01/2020,11,17,-6
14,15/01/2020,12,0,12
15,16/01/2020,13,0,13
16,17/01/2020,10,0,10
17,18/01/2020,12,0,12
18,19/01/2020,13,1,12
19,20/01/2020,13,1,12
20,21/01/2020,11,2,9
21,22/01/2020,11,1,10
22,23/01/2020,12,9,3
23,24/01/2020,10,8,2
24,25/01/2020,11,9,2
25,26/01/2020,11,9,2
26,27/01/2020,13,8,5
27,28/01/2020,10,9,1
28,29/01/2020,11,8,3
29,30/01/2020,13,8,5
30,31/01/2020,12,8,4
31,01/02/2020,23,37,-14
32,02/02/2020,62,9,53
33,03/02/2020,12,43,-31
34,04/02/2020,41,45,-4
35,05/02/2020,110,65,45
36,06/02/2020,317,15,302
37,07/02/2020,2,43,-41
38,08/02/2020,13,34,-21
39,09/02/2020,61,1,60
40,10/02/2020,34,15,19
41,11/02/2020,12,0,12
42,12/02/2020,18,0,18
43,13/02/2020,23,34,-11
44,14/02/2020,10,40,-30
45,15/02/2020,4,17,-13
46,16/02/2020,15,34,-19
47,17/02/2020,30,12,18
48,18/02/2020,12,13,-1
49,19/02/2020,21,38,-17
50,20/02/2020,10,33,-23
51,21/02/2020,5,32,-27
52,22/02/2020,3,35,-32
53,23/02/2020,6,47,-41
54,24/02/2020,5,64,-59
55,25/02/2020,4,87,-83
56,26/02/2020,7,80,-73
57,27/02/2020,10,57,-47
58,28/02/2020,7,50,-43
59,29/02/2020,3,52,-49
60,01/03/2020,10,34,-24
61,02/03/2020,70,9,61
62,03/03/2020,37,42,-5
63,04/03/2020,77,46,31
64,05/03/2020,107,62,45
65,06/03/2020,371,37,334
66,07/03/2020,2,42,-40
67,08/03/2020,0,42,-42
68,09/03/2020,52,9,43
69,10/03/2020,18,15,3
70,11/03/2020,10,0,10
71,12/03/2020,38,0,38
72,13/03/2020,26,43,-17
73,14/03/2020,6,42,-36
74,15/03/2020,28,48,-20
75,16/03/2020,29,45,-16
76,17/03/2020,29,56,-27
77,18/03/2020,29,45,-16
78,19/03/2020,28,46,-18
79,20/03/2020,2,47,-45
80,21/03/2020,3,45,-42
81,22/03/2020,1,49,-48
82,23/03/2020,2,50,-48
83,24/03/2020,2,55,-53
84,25/03/2020,2,59,-57
85,26/03/2020,2,47,-45
86,27/03/2020,2,43,-41
87,28/03/2020,3,46,-43
88,29/03/2020,2,48,-46
89,30/03/2020,1,46,-45
90,31/03/2020,1,47,-46
91,01/04/2020,11,24,-13
92,02/04/2020,79,9,70
93,03/04/2020,68,66,2
94,04/04/2020,80,50,30
95,05/04/2020,96,60,36
96,06/04/2020,305,43,262
97,07/04/2020,4,41,-37
98,08/04/2020,4,38,-34
99,09/04/2020,52,9,43
100,10/04/2020,12,9,3
101,11/04/2020,17,0,17
102,12/04/2020,46,1,45
103,13/04/2020,68,42,26
104,14/04/2020,67,43,24
105,15/04/2020,6,46,-40
106,16/04/2020,2,41,-39
107,17/04/2020,39,50,-11
108,18/04/2020,36,51,-15
109,19/04/2020,36,47,-11
110,20/04/2020,37,32,5
111,21/04/2020,1,1,0
112,22/04/2020,38,15,23
113,23/04/2020,39,13,26
114,24/04/2020,99,9,90
115,25/04/2020,128,29,99
116,26/04/2020,117,28,89
117,27/04/2020,98,31,67
118,28/04/2020,73,23,50
119,29/04/2020,141,36,105
120,30/04/2020,126,50,76
121,01/05/2020,12,31,-19
122,02/05/2020,54,38,16
123,03/05/2020,61,64,-3
124,04/05/2020,52,45,7
125,05/05/2020,104,49,55
126,06/05/2020,131,38,93
127,07/05/2020,5,37,-32
128,08/05/2020,0,38,-38
129,09/05/2020,35,9,26
130,10/05/2020,21,0,21
131,11/05/2020,10,15,-5
132,12/05/2020,47,0,47
133,13/05/2020,93,78,15
134,14/05/2020,95,76,19
135,15/05/2020,77,96,-19
136,16/05/2020,59,97,-38
137,17/05/2020,59,93,-34
138,18/05/2020,59,88,-29
139,19/05/2020,57,103,-46
140,20/05/2020,58,82,-24
141,21/05/2020,55,70,-15
142,22/05/2020,90,82,8
143,23/05/2020,61,70,-9
144,24/05/2020,79,58,21
145,25/05/2020,24,52,-28
146,26/05/2020,22,41,-19
147,27/05/2020,92,41,51
148,28/05/2020,120,35,85
149,29/05/2020,109,13,96
150,30/05/2020,103,0,103
151,31/05/2020,186,0,186
152,01/06/2020,11,41,-30
153,02/06/2020,74,38,36
154,03/06/2020,93,72,21
155,04/06/2020,70,40,30
156,05/06/2020,116,49,67
157,06/06/2020,47,37,10
158,07/06/2020,3,42,-39
159,08/06/2020,4,42,-38
160,09/06/2020,61,9,52
161,10/06/2020,38,0,38
162,11/06/2020,2,15,-13
163,12/06/2020,84,0,84
164,13/06/2020,45,37,8
165,14/06/2020,48,22,26
166,15/06/2020,47,0,47
167,16/06/2020,39,0,39
168,17/06/2020,21,0,21
169,18/06/2020,33,0,33
170,19/06/2020,18,0,18
171,20/06/2020,20,0,20
172,21/06/2020,19,0,19
173,22/06/2020,27,0,27
174,23/06/2020,16,0,16
175,24/06/2020,13,1,12
176,25/06/2020,25,2,23
177,26/06/2020,22,17,5
178,27/06/2020,18,26,-8
179,28/06/2020,30,37,-7
180,29/06/2020,32,41,-9
181,30/06/2020,30,36,-6
182,01/07/2020,11,37,-26
183,02/07/2020,54,39,15
184,03/07/2020,46,45,1
185,04/07/2020,53,41,12
186,05/07/2020,98,51,47
187,06/07/2020,64,38,26
188,07/07/2020,2,37,-35
189,08/07/2020,3,49,-46
190,09/07/2020,59,8,51
191,10/07/2020,41,0,41
192,11/07/2020,7,24,-17
193,12/07/2020,52,0,52
194,13/07/2020,39,37,2
195,14/07/2020,48,35,13
196,15/07/2020,45,45,0
197,16/07/2020,43,44,-1
198,17/07/2020,35,48,-13
199,18/07/2020,38,47,-9
200,19/07/2020,28,43,-15
201,20/07/2020,13,40,-27
202,21/07/2020,18,41,-23
203,22/07/2020,11,47,-36
204,23/07/2020,26,44,-18
205,24/07/2020,39,49,-10
206,25/07/2020,38,49,-11
207,26/07/2020,46,44,2
208,27/07/2020,13,46,-33
209,28/07/2020,16,48,-32
210,29/07/2020,13,32,-19
211,30/07/2020,11,5,6
212,31/07/2020,16,48,-32
213,01/08/2020,11,35,-24
214,02/08/2020,48,39,9
215,03/08/2020,102,59,43
216,04/08/2020,127,50,77
217,05/08/2020,93,49,44
218,06/08/2020,46,35,11
219,07/08/2020,5,33,-28
220,08/08/2020,2,43,-41
221,09/08/2020,102,8,94
222,10/08/2020,17,16,1
223,11/08/2020,11,0,11
224,12/08/2020,58,0,58
225,13/08/2020,50,43,7
226,14/08/2020,52,47,5
227,15/08/2020,30,43,-13
228,16/08/2020,51,34,17
229,17/08/2020,60,27,33
230,18/08/2020,62,31,31
231,19/08/2020,58,30,28
232,20/08/2020,58,30,28
233,21/08/2020,50,28,22
234,22/08/2020,68,29,39
235,23/08/2020,8,30,-22
236,24/08/2020,5,32,-27
237,25/08/2020,7,21,-14
238,26/08/2020,3,1,2
239,27/08/2020,3,1,2
240,28/08/2020,3,1,2
241,29/08/2020,4,1,3
242,30/08/2020,5,1,4
243,31/08/2020,5,1,4
244,01/09/2020,13,23,-10
245,02/09/2020,58,39,19
246,03/09/2020,145,56,89
247,04/09/2020,122,50,72
248,05/09/2020,91,40,51
249,06/09/2020,49,39,10
250,07/09/2020,1,38,-37
251,08/09/2020,1,45,-44
252,09/09/2020,100,8,92
253,10/09/2020,32,16,16
254,11/09/2020,10,0,10
255,12/09/2020,59,0,59
256,13/09/2020,46,9,37
257,14/09/2020,49,8,41
258,15/09/2020,50,8,42
259,16/09/2020,26,8,18
260,17/09/2020,26,23,3
261,18/09/2020,24,24,0
262,19/09/2020,10,26,-16
263,20/09/2020,18,21,-3
264,21/09/2020,27,8,19
265,22/09/2020,37,8,29
266,23/09/2020,44,8,36
267,24/09/2020,53,23,30
268,25/09/2020,52,23,29
269,26/09/2020,32,23,9
270,27/09/2020,32,16,16
271,28/09/2020,19,12,7
272,29/09/2020,49,0,49
273,30/09/2020,45,0,45
274,01/10/2020,10,34,-24
275,02/10/2020,25,9,16
276,03/10/2020,133,55,78
277,04/10/2020,126,51,75
278,05/10/2020,95,53,42
279,06/10/2020,50,39,11
280,07/10/2020,3,42,-39
281,08/10/2020,27,40,-13
282,09/10/2020,63,24,39
283,10/10/2020,22,22,0
284,11/10/2020,3,0,3
285,12/10/2020,63,0,63
286,13/10/2020,19,0,19
287,14/10/2020,24,0,24
288,15/10/2020,14,15,-1
289,16/10/2020,15,15,0
290,17/10/2020,18,15,3
291,18/10/2020,26,0,26
292,19/10/2020,20,0,20
293,20/10/2020,27,0,27
294,21/10/2020,23,0,23
295,22/10/2020,15,15,0
296,23/10/2020,5,15,-10
297,24/10/2020,11,15,-4
298,25/10/2020,19,15,4
299,26/10/2020,12,0,12
300,27/10/2020,15,0,15
301,28/10/2020,17,0,17
302,29/10/2020,10,15,-5
303,30/10/2020,7,16,-9
304,31/10/2020,11,15,-4
305,01/11/2020,11,31,-20
306,02/11/2020,19,12,7
307,03/11/2020,124,57,67
308,04/11/2020,108,49,59
309,05/11/2020,104,64,40
310,06/11/2020,54,38,16
311,07/11/2020,18,36,-18
312,08/11/2020,51,43,8
313,09/11/2020,66,23,43
314,10/11/2020,15,0,15
315,11/11/2020,5,0,5
316,12/11/2020,46,1,45
317,13/11/2020,12,15,-3
318,14/11/2020,7,15,-8
319,15/11/2020,6,0,6
320,16/11/2020,7,0,7
321,17/11/2020,5,0,5
322,18/11/2020,7,0,7
323,19/11/2020,6,15,-9
324,20/11/2020,2,15,-13
325,21/11/2020,5,15,-10
326,22/11/2020,3,0,3
327,23/11/2020,4,0,4
