,date,full_tax_count,chocolate_count,difference,moving_average_3
0,01/01/2020,49,3,46,
1,02/01/2020,21,49,-28,
2,03/01/2020,8,27,-19,
3,04/01/2020,13,62,-49,
4,05/01/2020,112,0,112,12.4
5,06/01/2020,219,9,210,45.2
6,07/01/2020,11,1,10,52.8
7,08/01/2020,18,0,18,60.2
8,09/01/2020,42,27,15,73
9,10/01/2020,44,4,40,58.6
10,11/01/2020,15,45,-30,10.6
11,12/01/2020,4,13,-9,6.8
12,13/01/2020,12,2,10,5.2
13,14/01/2020,11,2,9,4
14,15/01/2020,12,2,10,-2
15,16/01/2020,13,0,13,6.6
16,17/01/2020,10,2,8,10
17,18/01/2020,12,2,10,10
18,19/01/2020,13,4,9,10
19,20/01/2020,13,2,11,10.2
20,21/01/2020,11,1,10,9.6
21,22/01/2020,11,0,11,10.2
22,23/01/2020,12,0,12,10.6
23,24/01/2020,10,0,10,10.8
24,25/01/2020,11,0,11,10.8
25,26/01/2020,11,0,11,11
26,27/01/2020,13,2,11,11
27,28/01/2020,10,1,9,10.4
28,29/01/2020,11,32,-21,4.2
29,30/01/2020,13,76,-63,-10.6
30,31/01/2020,12,66,-54,-23.6
31,01/02/2020,23,1,22,-21.4
32,02/02/2020,62,55,7,-21.8
33,03/02/2020,12,25,-13,-20.2
34,04/02/2020,41,50,-9,-9.4
35,05/02/2020,110,0,110,23.4
36,06/02/2020,317,10,307,80.4
37,07/02/2020,2,1,1,79.2
38,08/02/2020,13,2,11,84
39,09/02/2020,61,51,10,87.8
40,10/02/2020,34,0,34,72.6
41,11/02/2020,12,45,-33,4.6
42,12/02/2020,18,14,4,5.2
43,13/02/2020,23,2,21,7.2
44,14/02/2020,10,0,10,7.2
45,15/02/2020,4,0,4,1.2
46,16/02/2020,15,0,15,10.8
47,17/02/2020,30,3,27,15.4
48,18/02/2020,12,2,10,13.2
49,19/02/2020,21,2,19,15
50,20/02/2020,10,3,7,15.6
51,21/02/2020,5,2,3,13.2
52,22/02/2020,3,0,3,8.4
53,23/02/2020,6,2,4,7.2
54,24/02/2020,5,1,4,4.2
55,25/02/2020,4,16,-12,0.4
56,26/02/2020,7,18,-11,-2.4
57,27/02/2020,10,36,-26,-8.2
58,28/02/2020,7,8,-1,-9.2
59,29/02/2020,3,1,2,-9.6
60,01/03/2020,10,0,10,-5.2
61,02/03/2020,70,48,22,1.4
62,03/03/2020,37,39,-2,6.2
63,04/03/2020,77,8,69,20.2
64,05/03/2020,107,0,107,41.2
65,06/03/2020,371,14,357,110.6
66,07/03/2020,2,3,-1,106
67,08/03/2020,0,0,0,106.4
68,09/03/2020,52,89,-37,85.2
69,10/03/2020,18,0,18,67.4
70,11/03/2020,10,27,-17,-7.4
71,12/03/2020,38,13,25,-2.2
72,13/03/2020,26,3,23,2.4
73,14/03/2020,6,2,4,10.6
74,15/03/2020,28,0,28,12.6
75,16/03/2020,29,0,29,21.8
76,17/03/2020,29,0,29,22.6
77,18/03/2020,29,0,29,23.8
78,19/03/2020,28,4,24,27.8
79,20/03/2020,2,0,2,22.6
80,21/03/2020,3,0,3,17.4
81,22/03/2020,1,19,-18,8
82,23/03/2020,2,36,-34,-4.6
83,24/03/2020,2,42,-40,-17.4
84,25/03/2020,2,66,-64,-30.6
85,26/03/2020,2,72,-70,-45.2
86,27/03/2020,2,46,-44,-50.4
87,28/03/2020,3,34,-31,-49.8
88,29/03/2020,2,69,-67,-55.2
89,30/03/2020,1,68,-67,-55.8
90,31/03/2020,1,70,-69,-55.6
91,01/04/2020,11,1,10,-44.8
92,02/04/2020,79,44,35,-31.6
93,03/04/2020,68,28,40,-10.2
94,04/04/2020,80,5,75,18.2
95,05/04/2020,96,0,96,51.2
96,06/04/2020,305,20,285,106.2
97,07/04/2020,4,2,2,99.6
98,08/04/2020,4,0,4,92.4
99,09/04/2020,52,0,52,87.8
100,10/04/2020,12,0,12,71
101,11/04/2020,17,29,-12,11.6
102,12/04/2020,46,5,41,19.4
103,13/04/2020,68,36,32,25
104,14/04/2020,67,25,42,23
105,15/04/2020,6,21,-15,17.6
106,16/04/2020,2,14,-12,17.6
107,17/04/2020,39,12,27,14.8
108,18/04/2020,36,6,30,14.4
109,19/04/2020,36,10,26,11.2
110,20/04/2020,37,6,31,20.4
111,21/04/2020,1,1,0,22.8
112,22/04/2020,38,8,30,23.4
113,23/04/2020,39,1,38,25
114,24/04/2020,99,1,98,39.4
115,25/04/2020,128,0,128,58.8
116,26/04/2020,117,2,115,81.8
117,27/04/2020,98,1,97,95.2
118,28/04/2020,73,1,72,102
119,29/04/2020,141,0,141,110.6
120,30/04/2020,126,1,125,110
121,01/05/2020,12,2,10,89
122,02/05/2020,54,40,14,72.4
123,03/05/2020,61,23,38,65.6
124,04/05/2020,52,41,11,39.6
125,05/05/2020,104,0,104,35.4
126,06/05/2020,131,34,97,52.8
127,07/05/2020,5,0,5,51
128,08/05/2020,0,1,-1,43.2
129,09/05/2020,35,0,35,48
130,10/05/2020,21,0,21,31.4
131,11/05/2020,10,22,-12,9.6
132,12/05/2020,47,4,43,17.2
133,13/05/2020,93,0,93,36
134,14/05/2020,95,0,95,48
135,15/05/2020,77,0,77,59.2
136,16/05/2020,59,0,59,73.4
137,17/05/2020,59,2,57,76.2
138,18/05/2020,59,37,22,62
139,19/05/2020,57,41,16,46.2
140,20/05/2020,58,36,22,35.2
141,21/05/2020,55,30,25,28.4
142,22/05/2020,90,36,54,27.8
143,23/05/2020,61,32,29,29.2
144,24/05/2020,79,34,45,35
145,25/05/2020,24,34,-10,28.6
146,26/05/2020,22,29,-7,22.2
147,27/05/2020,92,10,82,27.8
148,28/05/2020,120,10,110,44
149,29/05/2020,109,11,98,54.6
150,30/05/2020,103,10,93,75.2
151,31/05/2020,186,11,175,111.6
152,01/06/2020,11,0,11,97.4
153,02/06/2020,74,28,46,84.6
154,03/06/2020,93,3,90,83
155,04/06/2020,70,35,35,71.4
156,05/06/2020,116,1,115,59.4
157,06/06/2020,47,33,14,60
158,07/06/2020,3,0,3,51.4
159,08/06/2020,4,0,4,34.2
160,09/06/2020,61,1,60,39.2
161,10/06/2020,38,0,38,23.8
162,11/06/2020,2,25,-23,16.4
163,12/06/2020,84,4,80,31.8
164,13/06/2020,45,28,17,34.4
165,14/06/2020,48,30,18,26
166,15/06/2020,47,22,25,23.4
167,16/06/2020,39,11,28,33.6
168,17/06/2020,21,6,15,20.6
169,18/06/2020,33,2,31,23.4
170,19/06/2020,18,0,18,23.4
171,20/06/2020,20,0,20,22.4
172,21/06/2020,19,1,18,20.4
173,22/06/2020,27,0,27,22.8
174,23/06/2020,16,0,16,19.8
175,24/06/2020,13,1,12,18.6
176,25/06/2020,25,3,22,19
177,26/06/2020,22,2,20,19.4
178,27/06/2020,18,1,17,17.4
179,28/06/2020,30,1,29,20
180,29/06/2020,32,1,31,23.8
181,30/06/2020,30,1,29,25.2
182,01/07/2020,11,1,10,23.2
183,02/07/2020,54,29,25,24.8
184,03/07/2020,46,2,44,27.8
185,04/07/2020,53,27,26,26.8
186,05/07/2020,98,0,98,40.6
187,06/07/2020,64,20,44,47.4
188,07/07/2020,2,1,1,42.6
189,08/07/2020,3,0,3,34.4
190,09/07/2020,59,0,59,41
191,10/07/2020,41,0,41,29.6
192,11/07/2020,7,22,-15,17.8
193,12/07/2020,52,0,52,28
194,13/07/2020,39,54,-15,24.4
195,14/07/2020,48,51,-3,12
196,15/07/2020,45,61,-16,0.6
197,16/07/2020,43,74,-31,-2.6
198,17/07/2020,35,75,-40,-21
