,date,full_tax_count,soda_count,difference
0,2020-01-01,49,0.0,49.0
1,2020-01-02,21,0.0,21.0
2,2020-01-03,8,0.0,8.0
3,2020-01-04,13,16.0,-3.0
4,2020-01-05,112,7.0,105.0
5,2020-01-06,219,7.0,212.0
6,2020-01-07,11,3.0,8.0
7,2020-01-08,18,1.0,17.0
8,2020-01-09,42,1.0,41.0
9,2020-01-10,44,5.0,39.0
10,2020-01-11,15,9.0,6.0
11,2020-01-12,4,0.0,4.0
12,2020-01-13,12,0.0,12.0
13,2020-01-14,11,51.0,-40.0
14,2020-01-15,12,51.0,-39.0
15,2020-01-16,13,53.0,-40.0
16,2020-01-17,10,3.0,7.0
17,2020-01-18,12,0.0,12.0
18,2020-01-19,13,0.0,13.0
19,2020-01-20,13,1.0,12.0
20,2020-01-21,11,2.0,9.0
21,2020-01-22,11,1.0,10.0
22,2020-01-23,12,1.0,11.0
23,2020-01-24,10,1.0,9.0
24,2020-01-25,11,1.0,10.0
25,2020-01-26,11,1.0,10.0
26,2020-01-27,13,1.0,12.0
27,2020-01-28,10,1.0,9.0
28,2020-01-29,11,2.0,9.0
29,2020-01-30,13,0.0,13.0
30,2020-01-31,12,0.0,12.0
31,2020-02-01,23,0.0,23.0
32,2020-02-02,62,1.0,61.0
33,2020-02-03,12,0.0,12.0
34,2020-02-04,41,13.0,28.0
35,2020-02-05,110,17.0,93.0
36,2020-02-06,317,5.0,312.0
37,2020-02-07,2,3.0,-1.0
38,2020-02-08,13,1.0,12.0
39,2020-02-09,61,4.0,57.0
40,2020-02-10,34,5.0,29.0
41,2020-02-11,12,10.0,2.0
42,2020-02-12,18,0.0,18.0
43,2020-02-13,23,7.0,16.0
44,2020-02-14,10,32.0,-22.0
45,2020-02-15,4,41.0,-37.0
46,2020-02-16,15,72.0,-57.0
47,2020-02-17,30,0.0,30.0
48,2020-02-18,12,0.0,12.0
49,2020-02-19,21,0.0,21.0
50,2020-02-20,10,0.0,10.0
51,2020-02-21,5,0.0,5.0
52,2020-02-22,3,0.0,3.0
53,2020-02-23,6,0.0,6.0
54,2020-02-24,5,0.0,5.0
55,2020-02-25,4,0.0,4.0
56,2020-02-26,7,0.0,7.0
57,2020-02-27,10,0.0,10.0
58,2020-02-28,7,0.0,7.0
59,2020-02-29,3,0.0,3.0
60,2020-03-01,10,0.0,10.0
61,2020-03-02,70,0.0,70.0
62,2020-03-03,37,0.0,37.0
63,2020-03-04,77,0.0,77.0
64,2020-03-05,107,9.0,98.0
65,2020-03-06,371,3.0,368.0
66,2020-03-07,2,2.0,0.0
67,2020-03-08,0,1.0,-1.0
68,2020-03-09,52,4.0,48.0
69,2020-03-10,18,0.0,18.0
70,2020-03-11,10,11.0,-1.0
71,2020-03-12,38,13.0,25.0
72,2020-03-13,26,0.0,26.0
73,2020-03-14,6,0.0,6.0
74,2020-03-15,28,0.0,28.0
75,2020-03-16,29,0.0,29.0
76,2020-03-17,29,5.0,24.0
77,2020-03-18,29,17.0,12.0
78,2020-03-19,28,35.0,-7.0
79,2020-03-20,2,11.0,-9.0
80,2020-03-21,3,11.0,-8.0
81,2020-03-22,1,18.0,-17.0
82,2020-03-23,2,20.0,-18.0
83,2020-03-24,2,19.0,-17.0
84,2020-03-25,2,19.0,-17.0
85,2020-03-26,2,33.0,-31.0
86,2020-03-27,2,6.0,-4.0
87,2020-03-28,3,1.0,2.0
88,2020-03-29,2,30.0,-28.0
89,2020-03-30,1,36.0,-35.0
90,2020-03-31,1,23.0,-22.0
91,2020-04-01,11,0.0,11.0
92,2020-04-02,79,0.0,79.0
93,2020-04-03,68,0.0,68.0
94,2020-04-04,80,29.0,51.0
95,2020-04-05,96,14.0,82.0
96,2020-04-06,305,4.0,301.0
97,2020-04-07,4,4.0,0.0
98,2020-04-08,4,1.0,3.0
99,2020-04-09,52,5.0,47.0
100,2020-04-10,12,5.0,7.0
101,2020-04-11,17,11.0,6.0
102,2020-04-12,46,0.0,46.0
103,2020-04-13,68,3.0,65.0
104,2020-04-14,67,4.0,63.0
105,2020-04-15,6,0.0,6.0
106,2020-04-16,2,0.0,2.0
107,2020-04-17,39,0.0,39.0
108,2020-04-18,36,9.0,27.0
109,2020-04-19,36,28.0,8.0
110,2020-04-20,37,16.0,21.0
111,2020-04-21,1,10.0,-9.0
112,2020-04-22,38,27.0,11.0
113,2020-04-23,39,38.0,1.0
114,2020-04-24,99,46.0,53.0
115,2020-04-25,128,40.0,88.0
116,2020-04-26,117,36.0,81.0
117,2020-04-27,98,13.0,85.0
118,2020-04-28,73,7.0,66.0
119,2020-04-29,141,12.0,129.0
120,2020-04-30,126,7.0,119.0
121,2020-05-01,12,0.0,12.0
122,2020-05-02,54,0.0,54.0
123,2020-05-03,61,0.0,61.0
124,2020-05-04,52,9.0,43.0
125,2020-05-05,104,19.0,85.0
126,2020-05-06,131,4.0,127.0
127,2020-05-07,5,5.0,0.0
128,2020-05-08,0,2.0,-2.0
129,2020-05-09,35,6.0,29.0
130,2020-05-10,21,5.0,16.0
131,2020-05-11,10,11.0,-1.0
132,2020-05-12,47,0.0,47.0
133,2020-05-13,93,9.0,84.0
134,2020-05-14,95,8.0,87.0
135,2020-05-15,77,10.0,67.0
136,2020-05-16,59,10.0,49.0
137,2020-05-17,59,10.0,49.0
